Order Date,Category,Sub-Category,Region,Segment,Unit Price,Quantity,Sales,Profit,Margin,Month,Year
2022-01-01 00:00:00.000000000,Office Supplies,Envelopes,East,Corporate,45.05,1,45.05,18.61,0.4131,2022-01,2022
2022-01-01 08:45:08.554277138,Technology,Accessories,East,Consumer,1005.16,1,1005.16,313.31,0.3117,2022-01,2022
2022-01-01 17:30:17.108554277,Office Supplies,Pens,East,Corporate,57.24,1,57.24,23.81,0.4159,2022-01,2022
2022-01-02 02:15:25.662831415,Technology,Accessories,Central,Corporate,402.52,1,402.52,126.63,0.3146,2022-01,2022
2022-01-02 11:00:34.217108554,Office Supplies,Labels,West,Consumer,89.61,1,89.61,23.61,0.2635,2022-01,2022
2022-01-02 19:45:42.771385692,Furniture,Tables,East,Home Office,242.72,2,485.44,55.0,0.1133,2022-01,2022
2022-01-03 04:30:51.325662831,Technology,Laptops,Central,Consumer,2443.77,2,4887.54,875.36,0.1791,2022-01,2022
2022-01-03 13:15:59.879939970,Technology,Monitors,South,Consumer,1221.9,1,1221.9,155.06,0.1269,2022-01,2022
2022-01-03 22:01:08.434217108,Technology,Accessories,Central,Corporate,1083.48,2,2166.96,544.77,0.2514,2022-01,2022
2022-01-04 06:46:16.988494247,Furniture,Storage,South,Corporate,1147.5,3,3442.5,527.74,0.1533,2022-01,2022
2022-01-04 15:31:25.542771385,Technology,Phones,Central,Corporate,2074.9,1,2074.9,510.01,0.2458,2022-01,2022
2022-01-05 00:16:34.097048524,Office Supplies,Binders,Central,Consumer,9.69,2,19.38,5.71,0.2945,2022-01,2022
2022-01-05 09:01:42.651325662,Furniture,Bookcases,West,Corporate,724.62,4,2898.48,695.93,0.2401,2022-01,2022
2022-01-05 17:46:51.205602801,Technology,Laptops,Central,Consumer,2168.96,3,6506.88,1122.44,0.1725,2022-01,2022
2022-01-06 02:31:59.759879940,Furniture,Storage,Central,Home Office,326.52,1,326.52,29.45,0.0902,2022-01,2022
2022-01-06 11:17:08.314157078,Office Supplies,Pens,Central,Consumer,111.09,2,222.18,101.27,0.4558,2022-01,2022
2022-01-06 20:02:16.868434217,Technology,Printers,East,Corporate,1970.98,1,1970.98,414.5,0.2103,2022-01,2022
2022-01-07 04:47:25.422711355,Technology,Printers,East,Consumer,1335.29,2,2670.58,605.69,0.2268,2022-01,2022
2022-01-07 13:32:33.976988494,Technology,Monitors,East,Consumer,745.49,5,3727.45,880.42,0.2362,2022-01,2022
2022-01-07 22:17:42.531265632,Office Supplies,Envelopes,East,Consumer,8.51,2,17.02,4.08,0.2395,2022-01,2022
2022-01-08 07:02:51.085542771,Office Supplies,Pens,West,Home Office,106.96,4,427.84,182.05,0.4255,2022-01,2022
2022-01-08 15:47:59.639819910,Furniture,Storage,Central,Corporate,553.61,1,553.61,84.92,0.1534,2022-01,2022
2022-01-09 00:33:08.194097048,Office Supplies,Binders,West,Home Office,47.55,5,237.75,100.38,0.4222,2022-01,2022
2022-01-09 09:18:16.748374187,Office Supplies,Pens,West,Consumer,95.18,2,190.36,81.66,0.429,2022-01,2022
2022-01-09 18:03:25.302651325,Furniture,Storage,East,Consumer,889.33,1,889.33,80.84,0.0909,2022-01,2022
2022-01-10 02:48:33.856928464,Office Supplies,Pens,Central,Consumer,43.87,2,87.74,29.92,0.341,2022-01,2022
2022-01-10 11:33:42.411205602,Technology,Monitors,East,Corporate,927.36,1,927.36,272.27,0.2936,2022-01,2022
